age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
38,M,Caucasian,25 - 45,Low,Male,5,-1,4,Yes,Yes
34,F,Caucasian,25 - 45,Medium,Male,0,0,5,No,No
33,F,African-American,25 - 45,Medium,Male,5,0,5,Yes,Yes
37,F,African-American,25 - 45,Low,Male,3,0,2,No,No
42,F,Caucasian,25 - 45,Low,Male,1,0,2,Yes,Yes
41,F,African-American,25 - 45,High,Male,10,0,9,Yes,Yes
22,F,African-American,Less than 25,Low,Male,0,-1,4,Yes,Yes
33,F,African-American,25 - 45,High,Male,28,-1,8,Yes,Yes
31,M,African-American,25 - 45,Medium,Male,1,-1,7,No,No
30,F,Other,25 - 45,Low,Female,1,-1,2,No,No
31,F,Caucasian,25 - 45,High,Male,13,-1,10,Yes,Yes
27,F,African-American,25 - 45,High,Male,3,-1,9,Yes,Yes
56,F,African-American,Greater than 45,High,Male,8,67,9,No,No
52,M,Caucasian,Greater than 45,High,Male,3,-2,9,No,No
33,F,African-American,25 - 45,High,Male,19,-1,10,Yes,Yes
64,M,Caucasian,Greater than 45,Low,Female,2,-47,1,No,No
22,F,Caucasian,Less than 25,Medium,Male,4,-36,6,Yes,Yes
42,F,Caucasian,25 - 45,Low,Male,6,-4,3,No,No
25,F,Caucasian,25 - 45,Low,Female,2,-1,4,No,No
30,M,Caucasian,25 - 45,Low,Male,1,-20,2,No,No
37,M,Other,25 - 45,Low,Female,2,-1,2,No,No
28,M,Caucasian,25 - 45,Low,Male,0,-1,2,Yes,Yes
24,M,African-American,Less than 25,Low,Female,0,-1,2,No,No
29,F,Caucasian,25 - 45,Low,Female,10,-1,4,Yes,Yes
44,M,Caucasian,25 - 45,Low,Male,2,0,2,Yes,Yes
30,F,Hispanic,25 - 45,Medium,Female,4,-35,5,Yes,Yes
32,F,African-American,25 - 45,Medium,Male,3,-1,7,Yes,Yes
31,M,Caucasian,25 - 45,Low,Male,2,-16,3,Yes,Yes
31,M,African-American,25 - 45,Low,Male,1,-1,2,Yes,No
59,F,Caucasian,Greater than 45,Low,Male,1,-1,2,Yes,Yes
20,F,African-American,Less than 25,High,Female,1,0,10,No,No
43,M,Caucasian,25 - 45,Low,Female,0,0,1,No,No
38,F,African-American,25 - 45,High,Male,9,-1,8,Yes,Yes
32,F,African-American,25 - 45,Medium,Male,11,-2,6,Yes,Yes
33,M,African-American,25 - 45,Medium,Male,8,-1,5,Yes,Yes
31,F,African-American,25 - 45,Low,Female,0,-1,3,Yes,Yes
33,F,African-American,25 - 45,High,Female,7,-1,9,Yes,Yes
27,F,African-American,25 - 45,High,Male,2,-1,9,Yes,Yes
20,F,African-American,Less than 25,Medium,Female,0,0,6,No,No
26,M,Caucasian,25 - 45,Medium,Female,0,-2,6,No,No
61,F,African-American,Greater than 45,Low,Female,1,-1,1,Yes,Yes
52,F,Other,Greater than 45,Medium,Male,13,-1,7,Yes,Yes
63,F,Hispanic,Greater than 45,Low,Male,1,-26,1,No,No
32,F,African-American,25 - 45,High,Female,4,-7,10,Yes,Yes
29,F,Hispanic,25 - 45,Low,Male,1,-1,4,No,No
26,M,African-American,25 - 45,Low,Female,2,-1,4,Yes,Yes
55,M,African-American,Greater than 45,Low,Male,3,-51,1,No,No
39,M,Caucasian,25 - 45,Low,Male,1,-1,4,No,No
30,F,Caucasian,25 - 45,Medium,Female,3,0,7,Yes,Yes
30,F,African-American,25 - 45,Medium,Male,1,0,7,No,No
48,M,Caucasian,Greater than 45,Low,Male,2,-1,2,No,No
22,F,African-American,Less than 25,Low,Male,1,-1,2,No,No
46,F,Caucasian,Greater than 45,Low,Male,6,22,1,Yes,Yes
49,F,Caucasian,Greater than 45,Medium,Female,6,-56,6,No,No
31,F,Caucasian,25 - 45,Medium,Male,0,0,5,No,No
25,M,African-American,25 - 45,Low,Male,1,-1,2,Yes,Yes
23,F,Hispanic,Less than 25,Low,Male,0,-1,3,No,No
32,F,African-American,25 - 45,Medium,Female,5,-1,7,No,No
52,M,Hispanic,Greater than 45,Low,Male,2,-1,1,No,No
62,F,African-American,Greater than 45,Low,Male,8,0,4,No,No
37,F,Caucasian,25 - 45,High,Female,6,-110,10,No,No
55,F,Caucasian,Greater than 45,Low,Male,1,-45,1,No,No
31,F,Hispanic,25 - 45,High,Male,8,29,9,Yes,Yes
28,M,African-American,25 - 45,Medium,Male,6,-1,6,Yes,Yes
54,F,Hispanic,Greater than 45,Low,Male,2,-1,1,No,No
58,F,Hispanic,Greater than 45,Low,Male,0,-1,2,No,No
78,M,Caucasian,Greater than 45,Low,Male,1,-1,1,Yes,Yes
56,F,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
24,F,Other,Less than 25,Low,Male,0,-1,2,No,No
38,F,African-American,25 - 45,High,Male,22,-34,8,Yes,Yes
22,F,African-American,Less than 25,Medium,Male,1,0,5,Yes,Yes
47,M,African-American,Greater than 45,High,Male,23,-1,8,Yes,Yes
23,M,African-American,Less than 25,Low,Male,0,-1,2,Yes,Yes
57,F,Hispanic,Greater than 45,Low,Male,1,0,1,No,No
38,F,Caucasian,25 - 45,Medium,Female,2,-35,5,Yes,Yes
66,F,African-American,Greater than 45,Low,Male,3,-10,1,Yes,No
45,M,Caucasian,Greater than 45,Low,Male,8,0,4,Yes,Yes
32,F,African-American,25 - 45,High,Male,13,289,10,Yes,Yes
37,M,African-American,25 - 45,High,Male,2,0,9,Yes,Yes
39,F,Caucasian,25 - 45,Low,Male,0,0,4,Yes,Yes
26,F,African-American,25 - 45,High,Male,9,0,9,Yes,Yes
45,F,Caucasian,Greater than 45,Low,Male,2,-1,3,No,No
23,F,African-American,Less than 25,Low,Male,0,-1,3,Yes,Yes
34,M,African-American,25 - 45,Low,Male,2,0,2,Yes,No
23,M,African-American,Less than 25,Low,Female,1,-1,4,No,No
36,M,Other,25 - 45,Low,Male,2,-1,3,Yes,Yes
50,F,Caucasian,Greater than 45,Low,Male,1,-4,1,No,No
37,M,Caucasian,25 - 45,Low,Female,0,-1,3,No,No
44,M,Caucasian,25 - 45,Low,Male,4,0,4,No,No
35,F,African-American,25 - 45,High,Female,23,-1,9,Yes,Yes
24,F,Other,Less than 25,Medium,Male,5,-1,5,Yes,Yes
26,F,African-American,25 - 45,High,Male,2,-1,10,Yes,Yes
27,M,African-American,25 - 45,Low,Male,0,-1,2,No,No
28,F,African-American,25 - 45,High,Female,0,0,8,No,No
43,F,Caucasian,25 - 45,Medium,Male,11,49,5,Yes,Yes
28,F,Caucasian,25 - 45,High,Female,7,-1,9,Yes,Yes
38,F,African-American,25 - 45,Low,Male,2,-1,1,No,No
27,M,Caucasian,25 - 45,Low,Male,2,-36,4,No,No
28,F,African-American,25 - 45,High,Female,1,-1,9,No,No
56,F,Caucasian,Greater than 45,Low,Male,7,-1,1,Yes,Yes
38,F,African-American,25 - 45,High,Male,15,-1,9,No,No
28,M,African-American,25 - 45,Medium,Male,2,-1,5,No,No
45,F,African-American,Greater than 45,Medium,Male,3,104,6,No,No
61,F,Caucasian,Greater than 45,Low,Male,1,-34,1,No,No
51,M,Caucasian,Greater than 45,Low,Female,0,-1,1,Yes,Yes
51,M,Caucasian,Greater than 45,Low,Male,0,-1,2,No,No
36,M,Other,25 - 45,Low,Male,1,-1,1,Yes,Yes
48,F,African-American,Greater than 45,Low,Male,0,-1,1,No,No
37,F,Caucasian,25 - 45,Low,Male,4,0,3,Yes,Yes
30,F,African-American,25 - 45,Medium,Female,2,-1,7,No,No
41,M,African-American,25 - 45,Medium,Female,5,0,6,No,No
27,F,African-American,25 - 45,High,Male,11,-1,10,Yes,Yes
37,M,African-American,25 - 45,Low,Male,0,-1,1,Yes,No
33,F,Other,25 - 45,Low,Male,4,0,4,Yes,Yes
54,F,African-American,Greater than 45,High,Male,11,-1,9,No,No
23,F,African-American,Less than 25,High,Male,2,-1,9,No,No
26,F,African-American,25 - 45,Low,Female,2,-227,4,Yes,Yes
41,M,African-American,25 - 45,Low,Male,0,0,1,No,No
52,F,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
43,F,Caucasian,25 - 45,Low,Male,13,0,4,Yes,Yes
52,F,African-American,Greater than 45,Low,Male,0,-1,4,No,No
28,F,Caucasian,25 - 45,Low,Male,1,-3,1,No,No
30,M,African-American,25 - 45,High,Male,11,-1,9,Yes,Yes
28,F,Caucasian,25 - 45,Medium,Male,1,0,5,No,No
22,F,African-American,Less than 25,Low,Male,0,-1,4,No,No
30,F,African-American,25 - 45,Low,Male,4,0,2,No,No
25,F,Hispanic,25 - 45,Low,Male,4,0,4,No,No
31,F,Caucasian,25 - 45,High,Male,0,-1,8,Yes,Yes
37,F,Caucasian,25 - 45,Low,Male,0,-1,2,Yes,Yes
32,F,African-American,25 - 45,High,Male,14,-1,9,No,No
26,M,African-American,25 - 45,High,Male,4,649,8,No,No
53,M,Caucasian,Greater than 45,Low,Male,1,-1,1,No,No
28,F,African-American,25 - 45,High,Male,25,29,8,Yes,Yes
44,M,Caucasian,25 - 45,Medium,Male,8,-1,5,Yes,Yes
25,F,African-American,25 - 45,Low,Male,0,0,3,No,No
22,M,Caucasian,Less than 25,High,Male,1,0,8,Yes,Yes
37,M,Other,25 - 45,Low,Female,0,-1,1,No,No
40,F,Other,25 - 45,Low,Female,3,-1,2,No,No
36,F,Caucasian,25 - 45,Medium,Male,8,150,7,Yes,Yes
30,F,Caucasian,25 - 45,Low,Male,4,-140,2,No,No
22,M,African-American,Less than 25,High,Male,3,161,9,Yes,Yes
24,M,Caucasian,Less than 25,Medium,Female,1,-32,7,Yes,Yes
27,M,African-American,25 - 45,Low,Male,3,-44,2,Yes,Yes
31,M,Hispanic,25 - 45,Low,Female,0,-1,2,No,No
23,F,Hispanic,Less than 25,Medium,Male,1,-1,6,Yes,Yes
23,F,Caucasian,Less than 25,Medium,Female,5,-1,5,Yes,Yes
24,M,Hispanic,Less than 25,High,Male,0,-3,8,No,No
29,M,African-American,25 - 45,Low,Male,1,-1,3,No,No
20,F,African-American,Less than 25,High,Male,1,-1,8,Yes,Yes
30,F,African-American,25 - 45,Medium,Male,2,-1,6,Yes,Yes
39,F,Other,25 - 45,Low,Male,0,-1,1,No,No
27,F,African-American,25 - 45,Low,Male,4,-1,4,No,No
31,M,Caucasian,25 - 45,Low,Male,2,812,4,Yes,No
37,F,African-American,25 - 45,Low,Female,2,0,1,No,No
20,F,African-American,Less than 25,High,Male,0,-1,8,No,No
22,F,Hispanic,Less than 25,Medium,Male,0,0,7,No,No
52,F,African-American,Greater than 45,Low,Female,0,-1,1,No,No
23,F,African-American,Less than 25,Low,Female,0,-1,4,Yes,Yes
48,F,African-American,Greater than 45,Low,Female,0,-1,2,No,No
25,F,Caucasian,25 - 45,Medium,Male,0,0,5,No,No
27,F,Caucasian,25 - 45,Medium,Male,0,-1,6,Yes,Yes
30,F,African-American,25 - 45,Medium,Male,11,0,7,Yes,Yes
22,M,African-American,Less than 25,High,Male,3,-1,10,Yes,Yes
22,F,Caucasian,Less than 25,Low,Female,1,-1,3,No,No
32,F,Caucasian,25 - 45,Low,Male,2,-232,4,No,No
41,M,African-American,25 - 45,Low,Female,2,-1,3,No,No
25,F,Other,25 - 45,Low,Female,0,-1,2,No,No
44,M,African-American,25 - 45,Medium,Male,24,53,7,No,No
52,F,African-American,Greater than 45,Medium,Male,3,0,6,Yes,Yes
43,F,African-American,25 - 45,Low,Male,0,-1,1,No,No
37,F,Caucasian,25 - 45,Low,Male,3,-4,1,No,No
28,M,African-American,25 - 45,Low,Male,3,299,4,Yes,Yes
70,M,Caucasian,Greater than 45,Low,Male,1,-13,1,No,No
54,F,Caucasian,Greater than 45,Low,Male,6,-266,2,Yes,Yes
46,F,Caucasian,Greater than 45,Low,Male,3,-1,4,No,No
21,M,African-American,Less than 25,High,Male,0,-1,9,Yes,Yes
26,M,African-American,25 - 45,High,Male,1,-1,8,Yes,Yes
38,F,Hispanic,25 - 45,Low,Male,3,23,1,Yes,Yes
34,M,Caucasian,25 - 45,Low,Male,5,-1,4,No,No
19,F,African-American,Less than 25,Medium,Male,1,-48,5,Yes,Yes
34,M,African-American,25 - 45,Low,Male,5,-1,4,No,No
23,F,Caucasian,Less than 25,Medium,Male,0,0,5,Yes,Yes
34,F,African-American,25 - 45,Low,Male,5,-1,4,Yes,Yes
30,F,African-American,25 - 45,Low,Male,2,-83,1,No,No
39,F,African-American,25 - 45,Low,Male,6,-1,3,Yes,Yes
24,F,Other,Less than 25,Low,Male,0,-1,3,No,No
33,M,Caucasian,25 - 45,Low,Male,1,-93,3,Yes,Yes
58,F,Caucasian,Greater than 45,Low,Male,2,-1,3,No,No
21,M,African-American,Less than 25,Medium,Female,0,0,6,No,No
21,F,African-American,Less than 25,Medium,Male,1,-36,5,Yes,No
23,M,African-American,Less than 25,High,Male,4,-11,8,Yes,Yes
62,F,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
27,M,African-American,25 - 45,High,Male,4,300,8,Yes,Yes
37,F,Caucasian,25 - 45,Low,Male,5,-1,3,No,No
43,F,Other,25 - 45,Low,Male,2,-1,2,Yes,Yes
32,F,African-American,25 - 45,Low,Female,5,0,1,No,No
23,F,Hispanic,Less than 25,Low,Male,0,-1,3,No,No
27,M,African-American,25 - 45,Low,Male,0,0,1,No,No
44,M,Caucasian,25 - 45,Low,Male,0,-1,1,Yes,Yes
28,M,Caucasian,25 - 45,Low,Male,3,-1,3,Yes,Yes
42,F,Caucasian,25 - 45,Low,Female,0,-3,2,No,No
24,F,Other,Less than 25,High,Male,9,-1,10,Yes,Yes
27,F,African-American,25 - 45,Low,Male,0,0,2,No,No
20,F,African-American,Less than 25,High,Male,0,-1,10,Yes,Yes
51,M,Caucasian,Greater than 45,Low,Female,0,0,1,No,No
56,M,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
29,F,African-American,25 - 45,High,Male,7,-1,9,No,No
20,F,African-American,Less than 25,High,Male,0,-1,9,Yes,Yes
53,F,Caucasian,Greater than 45,Low,Male,6,-176,1,No,No
27,F,Caucasian,25 - 45,Medium,Male,8,-1,5,No,No
24,F,African-American,Less than 25,High,Male,2,-1,9,Yes,Yes
53,F,Caucasian,Greater than 45,Medium,Male,36,-7,6,Yes,Yes
28,M,Caucasian,25 - 45,Low,Male,2,0,3,Yes,Yes
21,F,Hispanic,Less than 25,Medium,Male,3,-22,5,Yes,No
36,F,African-American,25 - 45,Medium,Female,0,-1,7,No,No
25,M,Caucasian,25 - 45,Low,Female,2,-2,4,Yes,Yes
23,M,Hispanic,Less than 25,Low,Female,1,0,3,Yes,No
28,F,Caucasian,25 - 45,Medium,Male,1,-4,5,No,No
21,F,African-American,Less than 25,High,Female,0,-1,8,Yes,Yes
36,M,Caucasian,25 - 45,Low,Male,0,-1,3,No,No
24,F,African-American,Less than 25,Low,Male,0,-1,3,No,No
28,F,African-American,25 - 45,Medium,Male,3,206,6,Yes,Yes
30,F,Other,25 - 45,Low,Male,1,-1,2,Yes,Yes
29,F,African-American,25 - 45,Low,Male,0,-1,1,No,No
30,M,Caucasian,25 - 45,Medium,Female,0,0,6,No,No
51,M,Hispanic,Greater than 45,Low,Male,1,-1,1,No,No
33,F,Other,25 - 45,Low,Male,3,-94,1,No,No
25,F,African-American,25 - 45,Medium,Female,2,-86,6,No,No
32,F,African-American,25 - 45,High,Male,12,-1,9,Yes,Yes
23,F,African-American,Less than 25,Medium,Male,1,0,6,No,No
47,F,African-American,Greater than 45,Low,Male,3,0,3,No,No
32,F,Hispanic,25 - 45,Low,Female,1,-80,3,Yes,Yes
37,F,Caucasian,25 - 45,Low,Male,0,-1,1,No,No
19,F,African-American,Less than 25,High,Male,2,-1,10,Yes,Yes
27,M,Hispanic,25 - 45,High,Male,0,-1,8,No,No
39,M,Other,25 - 45,Low,Male,0,-1,1,No,No
21,F,Caucasian,Less than 25,Medium,Female,0,0,6,No,No
69,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
21,F,Caucasian,Less than 25,Medium,Male,2,-1,6,No,No
26,M,African-American,25 - 45,High,Male,6,0,10,Yes,Yes
22,F,Caucasian,Less than 25,Low,Male,0,-2,4,No,No
23,F,African-American,Less than 25,Medium,Female,0,-1,5,Yes,Yes
49,F,African-American,Greater than 45,Medium,Male,3,0,5,No,No
29,M,African-American,25 - 45,Low,Male,2,-1,4,Yes,No
60,M,Caucasian,Greater than 45,Low,Female,0,-1,1,No,No
23,F,African-American,Less than 25,High,Male,3,0,10,Yes,Yes
34,M,Hispanic,25 - 45,Medium,Male,2,47,5,Yes,Yes
20,F,Other,Less than 25,Low,Female,1,-21,4,No,No
36,F,Hispanic,25 - 45,Low,Male,1,0,3,No,No
30,F,Caucasian,25 - 45,Low,Male,0,0,4,No,No
21,F,African-American,Less than 25,Low,Male,1,-1,3,Yes,No
22,M,Caucasian,Less than 25,Medium,Male,2,-1,6,Yes,Yes
21,F,African-American,Less than 25,High,Male,4,-1,9,Yes,Yes
21,F,African-American,Less than 25,Medium,Male,0,-1,5,Yes,Yes
34,M,Caucasian,25 - 45,Low,Male,1,0,1,No,No
50,M,Caucasian,Greater than 45,Low,Female,1,-1,1,Yes,Yes
40,F,Caucasian,25 - 45,Medium,Male,0,-1,7,Yes,Yes
25,F,African-American,25 - 45,High,Male,7,-1,8,Yes,Yes
53,M,Caucasian,Greater than 45,Low,Female,1,-1,1,No,No
24,F,African-American,Less than 25,Low,Female,0,-1,4,No,No
42,F,African-American,25 - 45,Low,Male,1,-12,1,No,No
28,M,African-American,25 - 45,Low,Male,1,-1,3,No,No
24,M,Caucasian,Less than 25,Low,Male,1,-36,4,No,No
26,F,African-American,25 - 45,High,Male,6,-1,8,Yes,Yes
22,F,African-American,Less than 25,High,Male,4,-1,9,Yes,Yes
21,M,Caucasian,Less than 25,Medium,Male,3,-8,7,No,No
37,F,African-American,25 - 45,High,Male,23,-1,9,Yes,Yes
35,F,African-American,25 - 45,Medium,Male,2,-1,5,No,No
53,F,African-American,Greater than 45,Low,Male,2,-1,1,No,No
29,F,African-American,25 - 45,Low,Male,7,-1,4,Yes,No
48,F,Caucasian,Greater than 45,High,Male,23,-1,8,Yes,Yes
52,M,Caucasian,Greater than 45,Low,Female,0,0,1,No,No
27,F,African-American,25 - 45,High,Male,12,-1,8,Yes,Yes
28,F,African-American,25 - 45,High,Male,5,0,9,Yes,No
33,M,Caucasian,25 - 45,Low,Male,3,0,3,No,No
28,F,Hispanic,25 - 45,Low,Female,0,-1,2,No,No
47,F,Caucasian,Greater than 45,High,Male,5,-312,10,Yes,Yes
36,F,African-American,25 - 45,Medium,Male,14,-1,7,Yes,Yes
29,F,African-American,25 - 45,Medium,Male,2,-1,5,No,No
22,M,African-American,Less than 25,High,Male,0,0,9,Yes,Yes
26,F,African-American,25 - 45,Medium,Male,6,-34,7,No,No
25,F,Caucasian,25 - 45,Low,Male,0,0,2,No,No
68,F,Caucasian,Greater than 45,Low,Male,2,-150,1,No,No
56,F,African-American,Greater than 45,Low,Male,5,-1,3,No,No
27,F,African-American,25 - 45,High,Male,9,-1,8,Yes,Yes
52,F,Caucasian,Greater than 45,Low,Male,4,-1,1,Yes,Yes
32,F,African-American,25 - 45,Low,Male,3,0,2,No,No
60,F,Other,Greater than 45,Low,Male,4,-1,1,No,No
23,M,Hispanic,Less than 25,Low,Male,1,-5,3,No,No
39,M,Caucasian,25 - 45,Medium,Female,0,-2,6,No,No
56,M,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
22,F,African-American,Less than 25,Medium,Female,0,0,7,No,No
27,F,African-American,25 - 45,Low,Female,1,-31,2,Yes,Yes
53,F,African-American,Greater than 45,Medium,Male,11,-1,6,No,No
25,M,Caucasian,25 - 45,Low,Male,0,0,2,Yes,Yes
21,M,Hispanic,Less than 25,Low,Male,0,0,3,No,No
22,F,Caucasian,Less than 25,Low,Male,0,-1,3,No,No
58,M,Caucasian,Greater than 45,Low,Female,2,-23,1,No,No
31,M,African-American,25 - 45,Low,Male,7,0,3,Yes,Yes
22,F,Caucasian,Less than 25,Medium,Male,1,-1,5,Yes,Yes
28,F,African-American,25 - 45,Medium,Male,8,-1,6,Yes,Yes
42,F,Other,25 - 45,Low,Male,1,-1,1,No,No
20,F,African-American,Less than 25,Medium,Male,0,0,7,Yes,Yes
29,M,Caucasian,25 - 45,Medium,Male,0,0,6,Yes,Yes
29,F,African-American,25 - 45,High,Male,8,178,10,No,No
